date,close,code,name,ret,log_ret,ma5,ma20,ma60,vol20,ret_20d,year_month,signal
2020-01-02,956.41279,sh.600519,贵州茅台,,,,,,,,2020-01,0
2020-01-03,912.87484848,sh.600519,贵州茅台,-0.0455221238938052,-0.0465908146012574,,,,,,2020-01,0
2020-01-06,912.39241017,sh.600519,贵州茅台,-0.0005284824210057,-0.0005286221170605,,,,,,2020-01,0
2020-01-07,926.39158499,sh.600519,贵州茅台,0.0153433705321941,0.0152268513753618,,,,,,2020-01,0
2020-01-08,920.98319762,sh.600519,贵州茅台,-0.0058381222990688,-0.0058552307550606,925.810966252,,,,,2020-01,0
2020-01-09,933.3065341,sh.600519,贵州茅台,0.0133806311687834,0.0132919011562635,921.189715072,,,,,2020-01,0
2020-01-10,941.6010875,sh.600519,贵州茅台,0.0088872766845016,0.0088480172757624,926.934962876,,,,,2020-01,0
2020-01-13,951.56301541,sh.600519,贵州茅台,0.0105797752808989,0.0105242010897239,934.769083924,,,,,2020-01,0
2020-01-14,937.2845342,sh.600519,贵州茅台,-0.0150052923230185,-0.0151190107412523,936.947673766,,,,,2020-01,0
2020-01-15,941.28792579,sh.600519,贵州茅台,0.0042712660285353,0.0042621700634516,941.0086194,,,,,2020-01,0
2020-01-16,936.945981,sh.600519,贵州茅台,-0.0046127700898277,-0.0046234417436816,941.73650878,,,,,2020-01,0
2020-01-17,937.3691725,sh.600519,贵州茅台,0.0004516711833786,0.0004515692106539,940.89012578,,,,,2020-01,0
2020-01-20,923.403853,sh.600519,贵州茅台,-0.0148984198645597,-0.0150105160862198,935.258293298,,,,,2020-01,0
2020-01-21,910.1156399,sh.600519,贵州茅台,-0.0143904674610448,-0.0144950144365901,929.824514438,,,,,2020-01,0
2020-01-22,910.29338033,sh.600519,贵州茅台,0.0001952943364642,0.0001952752690078,923.625605346,,,,,2020-01,0
2020-01-23,891.0720224,sh.600519,贵州茅台,-0.0211155637790443,-0.0213416860944356,914.450813626,,,,,2020-01,0
2020-02-03,849.70082136,sh.600519,贵州茅台,-0.0464285714285714,-0.0475409447690001,896.917143398,,,,,2020-02,0
2020-02-04,878.55401783,sh.600519,贵州茅台,0.0339568889951391,0.0333930817887435,887.947176364,,,,,2020-02,0
2020-02-05,888.69368617,sh.600519,贵州茅台,0.0115413146308802,0.0114752217058973,883.6627856179999,,,,,2020-02,0
2020-02-06,906.476193,sh.600519,贵州茅台,0.020009714378232,0.0198121511510551,882.8993481519999,918.3361347875,,,,2020-02,0
2020-02-07,910.708108,sh.600519,贵州茅台,0.0046685340802987,0.0046576702739809,886.8265652719999,916.0509006875002,,0.3177911095702679,-0.04505407626064001,2020-02,0
2020-02-10,902.65900567,sh.600519,贵州茅台,-0.0088382899628252,-0.0088775793193563,897.418202134,915.540108547,,0.2753945297219404,-0.008370242329660008,2020-02,0
2020-02-11,929.328534,sh.600519,贵州茅台,0.0295455184764976,0.0291174606671026,907.573105368,916.3869147385,,0.2952125193809705,0.021703758567843293,2020-02,0
2020-02-12,928.71067441,sh.600519,贵州茅台,-0.0006648451730418,-0.0006650662806009,915.576503016,916.5028692095,,0.2903872669951818,0.005695542862607393,2020-02,0
2020-02-13,923.403853,sh.600519,贵州茅台,-0.005714181559689,-0.0057305699558042,918.962035016,916.6239019785,,0.29035293727261,0.005819483601987194,2020-02,0
2020-02-14,920.864704,sh.600519,贵州茅台,-0.002749770852429,-0.0027535584171829,920.993354216,916.0018104735,,0.2863257171482014,-0.010310918419225205,2020-02,0
2020-02-17,925.79065306,sh.600519,贵州茅台,0.0053492647058823,0.0053350082080236,925.619683694,915.2112887515,,0.2850573245573441,-0.013848930397844506,2020-02,0
2020-02-18,917.479172,sh.600519,贵州茅台,-0.0089777111407727,-0.00901825362432,923.249811294,913.507096581,,0.2832476384027822,-0.0334064168195161,2020-02,0
2020-02-19,928.0589595,sh.600519,贵州茅台,0.0115313653136532,0.0114653858583515,923.119468312,913.045817846,,0.2823390189660287,-0.006869759182844406,2020-02,0
2020-02-20,946.256194,sh.600519,贵州茅台,0.0196078431372548,0.0194180858571015,927.689936512,913.2942312565,,0.2907857677062748,0.008466817925875097,2020-02,0
2020-02-21,941.92271304,sh.600519,贵州茅台,-0.0045796064400716,-0.0045901249637294,931.90153832,913.5430678585,,0.2907781736030917,0.008499981575631196,2020-02,0
2020-02-24,920.17066994,sh.600519,贵州茅台,-0.0230932355689741,-0.0233640619629103,930.777541696,912.6831427305,,0.3025231513657008,-0.015044925176721504,2020-02,0
2020-02-25,909.70091223,sh.600519,贵州茅台,-0.0113780606707262,-0.0114432860337824,929.221889742,911.997995692,,0.3005917626506907,-0.011524565982888004,2020-02,0
2020-02-26,908.7614271,sh.600519,贵州茅台,-0.001032740670444,-0.0010332743145324,925.362383262,911.930285052,,0.2961567058854027,0.0018331608077127959,2020-02,0
2020-02-27,920.34841037,sh.600519,贵州茅台,0.0127503026916271,0.0126697019815139,920.180826536,912.433036554,,0.2995487022775826,0.014388169162875695,2020-02,0
2020-02-28,894.626831,sh.600519,贵州茅台,-0.0279476544753951,-0.028345622551366,910.721650128,912.610776984,,0.3070418820890191,0.007556078466524896,2020-02,0
2020-03-02,919.18040183,sh.600519,贵州茅台,0.027445600756859,0.0270757226843796,910.523596506,916.0847560075,,0.2670499011774941,0.0814302506519553,2020-03,0
2020-03-03,942.024279,sh.600519,贵州茅台,0.0248524415060633,0.0245486427209275,916.98826986,919.258269066,,0.2552303564017517,0.0723258031628795,2020-03,0
2020-03-04,955.49869636,sh.600519,贵州茅台,0.014303683737646,0.014202351196083,926.335723712,922.5985195755,,0.2565529016994958,0.0750881722696453,2020-03,0
2020-03-05,991.114493,sh.600519,贵州茅台,0.0372745632994366,0.0365966611260895,940.488940238,926.8304345755,,0.2775240979303935,0.0923530211908499,2020-03,0
2020-03-06,977.9955565,sh.600519,贵州茅台,-0.0132365499573015,-0.0133249338832819,957.162685338,930.1948070004998,,0.2846663263785099,0.0744479371532497,2020-03,0
2020-03-09,942.87912583,sh.600519,贵州茅台,-0.0359065339679792,-0.0365670326068138,961.902430138,932.2058130085,,0.3150962448669454,0.04737969314809568,2020-03,0
