name,VaR_95_历史模拟,VaR_95_参数法,CVaR_95,VaR_99_历史模拟,VaR_99_参数法,CVaR_99
贵州茅台,-0.028566890374622997,-0.030016148935155303,-0.04132570160311694,-0.04855007907391085,-0.042652146566686276,-0.059559186031028645
平安银行,-0.02869565188761499,-0.03274519537564803,-0.04115845832509278,-0.0511700181989784,-0.04631142555680712,-0.06484977972623912
万科A,-0.0347494054982234,-0.03951975703278551,-0.04721526410558624,-0.05296772659144725,-0.055550041195591156,-0.0687618279073299
五粮液,-0.0336575419010322,-0.03820101063548496,-0.05168198195908683,-0.0610208798506664,-0.054182636177588506,-0.0801031607978217
