date,open,high,low,close,volume
2020-01-02,13.0759776,13.3115808,12.9974432,13.24875328,153023187.0
2020-01-03,13.30372736,13.59430464,13.28802048,13.49220992,111619481.0
2020-01-06,13.35870144,13.61786496,13.28016704,13.40582208,86208350.0
2020-01-07,13.45294272,13.57074432,13.3115808,13.4686496,72860756.0
2020-01-08,13.350848,13.3901152,13.06027072,13.08383104,84782412.0
2020-01-09,13.20163264,13.29587392,12.98173632,13.18592576,103163665.0
2020-01-10,13.18592576,13.20163264,12.97388288,13.10739136,58554845.0
2020-01-13,13.154512,13.37440832,13.04456384,13.34299456,87213336.0
2020-01-14,13.34299456,13.56289088,13.16236544,13.16236544,130449366.0
2020-01-15,13.18592576,13.24089984,12.9189088,12.97388288,85943912.0
2020-01-16,12.97388288,13.01315008,12.7225728,12.82466752,102810467.0
2020-01-17,12.86393472,12.9974432,12.8403744,12.87178816,60543669.0
2020-01-20,12.90320192,13.04456384,12.8403744,12.9189088,74607475.0
2020-01-21,12.83252096,12.83252096,12.51052992,12.565504,89660310.0
2020-01-22,12.50267648,12.69115904,12.33775424,12.63618496,71946491.0
2020-01-23,12.50267648,12.50267648,12.08644416,12.20424576,110059207.0
2020-02-03,10.98696256,11.5445568,10.98696256,10.98696256,225919483.0
2020-02-04,11.0340832,11.51314304,11.01052288,11.4660224,170617207.0
2020-02-05,11.45816896,11.69377216,11.24612608,11.48958272,149138021.0
2020-02-06,11.63094464,11.67806528,11.39534144,11.59953088,118581572.0
2020-02-07,11.4660224,11.53670336,11.31680704,11.48172928,92485296.0
2020-02-10,11.39534144,11.41104832,11.2304192,11.387488,133949524.0
2020-02-11,11.4660224,11.73303936,11.43460864,11.61523776,140750744.0
2020-02-12,11.61523776,11.63879808,11.4660224,11.59953088,107050321.0
2020-02-13,11.55241024,11.68591872,11.47387584,11.5052896,101320528.0
2020-02-14,11.583824,11.89010816,11.5445568,11.80372032,151243473.0
2020-02-17,11.81157376,12.07073728,11.72518592,12.07073728,154369601.0
2020-02-18,12.03932352,12.03932352,11.78801344,11.9372288,97361235.0
2020-02-19,11.8586944,12.07073728,11.84298752,11.96864256,87410693.0
2020-02-20,11.99220288,12.26707328,11.8586944,12.24351296,123544434.0
2020-02-21,12.16497856,12.34560768,12.1335648,12.23565952,99507102.0
2020-02-24,12.14141824,12.14141824,11.8979616,11.96078912,119179450.0
2020-02-25,11.78016,11.88225472,11.60738432,11.81157376,114457502.0
2020-02-26,11.59953088,11.99220288,11.5445568,11.77230656,117659915.0
2020-02-27,11.74874624,11.8979616,11.69377216,11.86654784,97527090.0
2020-02-28,11.6623584,11.81157376,11.35607424,11.387488,130064445.0
2020-03-02,11.4267552,11.7408928,11.35607424,11.61523776,111658066.0
2020-03-03,11.74874624,11.77230656,11.48958272,11.56026368,115358432.0
2020-03-04,11.52884992,11.60738432,11.39534144,11.53670336,86259523.0
2020-03-05,11.6230912,12.28278016,11.56811712,12.08644416,268660240.0
2020-03-06,11.92152192,11.99220288,11.79586688,11.80372032,122853103.0
2020-03-09,11.55241024,11.56811712,11.32466048,11.3482208,166579354.0
2020-03-10,11.29324672,11.6623584,11.29324672,11.59167744,116786497.0
2020-03-11,11.59953088,11.68591872,11.48172928,11.53670336,81438164.0
2020-03-12,11.5052896,11.65450496,11.41104832,11.52884992,98649711.0
2020-03-13,10.9162816,11.45031552,10.9162816,11.40319488,116976580.0
2020-03-16,11.3482208,11.35607424,10.79848,10.79848,140620218.0
2020-03-17,10.79848,10.97125568,10.31156672,10.53146304,117784906.0
2020-03-18,10.53146304,10.6414112,9.9346016,9.98172224,138478437.0
2020-03-19,9.95816192,10.00528256,9.35344704,9.60475712,189145713.0
2020-03-20,9.7382656,9.95816192,9.62831744,9.83250688,157835296.0
2020-03-23,9.424128,9.6989984,9.36915392,9.5419296,107111364.0
2020-03-24,9.7382656,9.95816192,9.63617088,9.90318784,118020026.0
2020-03-25,10.11523072,10.26444608,9.9738688,10.10737728,113695774.0
2020-03-26,10.03669632,10.47648896,9.98957568,10.25659264,107519243.0
2020-03-27,10.405808,10.50790272,10.27229952,10.3272736,65301888.0
2020-03-30,10.0916704,10.24088576,10.02098944,10.16235136,66173879.0
2020-03-31,10.2487392,10.28015296,10.03669632,10.0524032,51337030.0
2020-04-01,10.09952384,10.31156672,10.06811008,10.12308416,52083604.0
2020-04-02,10.013136,10.18591168,9.94245504,10.18591168,51836504.0
2020-04-03,10.06811008,10.12308416,9.8560672,9.90318784,82534814.0
2020-04-07,10.12308416,10.16235136,10.06025664,10.11523072,87031371.0
2020-04-08,10.11523072,10.14664448,9.98957568,10.03669632,52871614.0
2020-04-09,10.11523072,10.12308416,9.98957568,10.00528256,40855377.0
2020-04-10,10.02098944,10.19376512,9.9346016,10.04454976,66667495.0
2020-04-13,9.95030848,9.98172224,9.79323968,9.88748096,44621440.0
2020-04-14,9.9346016,10.09952384,9.87177408,10.09952384,68608687.0
2020-04-15,10.09952384,10.15449792,10.03669632,10.10737728,65639640.0
2020-04-16,10.04454976,10.04454976,9.84821376,9.95816192,78915498.0
2020-04-17,10.02884288,10.24088576,9.9346016,10.12308416,133116477.0
2020-04-20,10.09952384,10.2487392,10.02884288,10.20161856,81845583.0
2020-04-21,10.4450752,10.7592128,10.4450752,10.5628768,212244834.0
2020-04-22,10.50004928,10.53931648,10.33512704,10.39010112,103280274.0
2020-04-23,10.39010112,10.45292864,10.29585984,10.39010112,64698963.0
2020-04-24,10.34298048,10.42936832,10.29585984,10.39795456,56600161.0
2020-04-27,10.4450752,10.71209216,10.405808,10.602144,93682990.0
2020-04-28,10.5628768,10.64926464,10.42151488,10.61785088,77156417.0
2020-04-29,10.58643712,11.0733504,10.5628768,11.01052288,110872239.0
2020-04-30,11.01052288,11.24612608,10.90057472,10.93984192,81954043.0
2020-05-06,10.80633344,10.90842816,10.68853184,10.81418688,100899802.0
2020-05-07,10.80633344,10.80633344,10.6806784,10.75135936,66274923.0
2020-05-08,10.80633344,11.01052288,10.74350592,10.9555488,93478170.0
2020-05-11,10.93198848,11.09691072,10.9162816,10.994816,61286229.0
2020-05-12,10.9555488,11.0340832,10.77491968,10.82989376,55851114.0
2020-05-13,10.79848,10.82204032,10.62570432,10.70423872,64035879.0
2020-05-14,10.6414112,10.67282496,10.38224768,10.4450752,94467209.0
2020-05-15,10.51575616,10.54716992,10.31942016,10.39010112,75679447.0
2020-05-18,10.3665408,10.47648896,10.30371328,10.3665408,63720857.0
2020-05-19,10.53146304,10.5628768,10.42151488,10.49219584,60036864.0
2020-05-20,10.50790272,10.69638528,10.42151488,10.60999744,69085107.0
2020-05-21,10.61785088,10.65711808,10.49219584,10.5236096,55231200.0
2020-05-22,10.46863552,10.47648896,10.14664448,10.14664448,85623733.0
2020-05-25,10.18591168,10.19376512,10.02098944,10.17805824,41017078.0
2020-05-26,10.22517888,10.26444608,10.16235136,10.24088576,39621240.0
2020-05-27,10.2487392,10.35868736,10.17805824,10.209472,48296294.0
